Domain,Target,Acc.,Chance,Advantage
E-health,Policy content,0.46959484482630914,0.46555555555555556,0.004039289270753588
E-health,Attribute value,0.021257684615954373,0.023088888888888888,-0.0018312042729345147
E-health,Policy mask,0.5704762610177024,0.5664666666666667,0.004009594351035761
OSN-Twitter,Policy content,0.44533333333333336,0.4484,-0.003066666666666662
OSN-Twitter,Attribute value,0.0038,0.0036,0.0002000000000000001
OSN-Twitter,Policy mask,0.5681333333333334,0.56906,-0.0009266666666666312
OSN-Facebook,Policy content,0.44466666666666665,0.4382,0.006466666666666676
OSN-Facebook,Attribute value,0.009333333333333334,0.0122,-0.0028666666666666667
OSN-Facebook,Policy mask,0.5606666666666666,0.5564,0.004266666666666641
