Domain,tau,H_star,d0,churn,H_min,tau_hat,S_size,success,refusal,infeasible_support,empty_pool_hit,cover_frac
E-health,0.05,5,3,0.2,5.0,0.03125,32,1,0,0,0,0.34375
E-health,0.05,5,3,0.2,5.0,0.03125,32,1,0,0,1,0.40625
E-health,0.05,5,3,0.2,5.0,0.03125,32,1,0,0,0,0.34375
E-health,0.05,5,3,0.2,5.0,0.03125,32,1,0,0,1,0.4375
E-health,0.05,5,3,0.2,5.0,0.03125,32,1,0,0,0,0.375
E-health,0.05,5,3,0.4,5.0,0.03125,32,1,0,0,1,0.375
E-health,0.05,5,3,0.4,5.0,0.03125,32,1,0,0,0,0.34375
E-health,0.05,5,3,0.4,5.0,0.03125,32,1,0,0,1,0.40625
E-health,0.05,5,3,0.4,5.0,0.03125,32,1,0,0,1,0.40625
E-health,0.05,5,3,0.4,5.0,0.03125,32,1,0,0,1,0.375
E-health,0.1,3,1,0.0,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,1,0.0,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,1,0.0,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,1,0.0,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,1,0.0,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,1,0.2,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,1,0.2,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,1,0.2,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,1,0.2,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,1,0.2,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,1,0.4,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,1,0.4,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,1,0.4,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,1,0.4,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,1,0.4,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,2,0.0,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,2,0.0,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,2,0.0,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,2,0.0,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,2,0.0,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,2,0.2,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,2,0.2,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,2,0.2,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,2,0.2,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,2,0.2,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,2,0.4,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,2,0.4,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,2,0.4,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,2,0.4,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,2,0.4,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,3,0.0,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,3,0.0,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,3,0.0,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,3,0.0,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,3,0.0,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,3,0.2,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,3,0.2,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,3,0.2,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,3,0.2,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,3,0.2,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,3,0.4,3.0,0.0625,16,1,0,0,0,0.375
E-health,0.1,3,3,0.4,3.0,0.0625,16,1,0,0,1,0.4375
E-health,0.1,3,3,0.4,3.0,0.0625,16,1,0,0,0,0.375
